feature,mean_abs_shap,lgbm_gain
price_roll3m_mean,186.56239527261337,162756781.39587307
soy_oil_usd,58.31603324477993,54881947.10849953
price_lag1m,48.8850104193485,54661145.06877136
oni_current,19.702391073885867,4476281.748615265
oni_lag15m,14.526014607881637,2610122.3286247253
price_mom1m,11.222978687372716,3415489.380569458
soy_oil_roll3m,10.313102717520856,11072801.887924194
palm_soy_spread,7.383252037611816,549585.1719799042
soy_oil_mom,7.14100890491088,1248239.504398346
price_mom3m,5.457637417910628,1232150.8895759583
price_roll6m_mean,4.3952984175023255,2531995.8486232758
oni_lag6m,4.290698691060993,627171.456703186
soy_oil_usd_lag1m,4.12168493324056,1564200.8923339844
palm_soy_spread_lag1m,3.457659359249135,417223.066822052
crude_wti,3.1784807159138073,611616.2568435669
price_lag3m,1.962804111314128,174220.2912902832
crude_mom,1.7450188032549157,354805.48293685913
peninsular_my_precip_roll6m,1.4591010449787831,161077.36082839966
price_lag12m,1.294740322882164,326506.62644958496
area_precip_roll3m,1.2300812628375215,120666.82139968872
oni_lag12m,1.0885719138266254,214925.0374250412
palm_soy_spread_roll3m,1.0220334461977894,135870.82152557373
price_roll6m_std,1.0206543836093933,77573.59796905518
riau_sumatra_precip_roll6m,1.011729197765648,127533.83647155762
sabah_precip_roll12m,0.9990818961400564,254381.43983078003
west_kalim_precip_roll12m,0.9864582766694493,109185.71370697021
sabah_tmean_roll3m,0.9377011312626807,57512.867614746094
west_kalim_precip_roll3m,0.8864223180067646,206007.9711341858
peninsular_my_heat_days_roll3m,0.8607332876152958,121604.83335876465
riau_sumatra_precip_roll3m,0.8564583225678488,44368.47937011719
peninsular_my_spei_6m,0.7815608413797355,44222.728660583496
crude_brent_usd_lag1m,0.7599209170358079,103478.89051818848
riau_sumatra_heat_days_roll3m,0.7505305206839732,65941.61797571182
west_kalim_tmean_roll3m,0.7271406445420786,83542.48518371582
peninsular_my_tmean_roll3m,0.6505824583293492,63109.14813232422
sabah_precip_roll6m,0.6405308096413432,16808.297901153564
crude_brent_usd,0.5990217152169972,178092.64546966553
peninsular_my_precip_roll12m,0.5179905205196752,52998.33014678955
price_lag6m,0.5164128655981282,49502.69640350342
sabah_precip_roll3m,0.4922318668791837,151677.5114250183
riau_sumatra_solar_anom,0.4862021280224856,65907.42946624756
riau_sumatra_spei_6m,0.48203105184408684,106198.34027862549
enso_phase,0.4315916445624613,38085.0
west_kalim_precip_roll6m,0.42393926660945763,40259.47887420654
crude_roll3m,0.41388484767835826,163427.69387054443
sabah_spei_6m,0.3689203005924693,24018.63712310791
riau_sumatra_spei_3m,0.34343666281854984,15390.666404724121
west_kalim_heat_days_roll3m,0.33967606024813257,16340.118600845337
west_kalim_spei_6m,0.31451136902013477,22609.017433166504
area_mean_precip,0.29537386100836865,82135.39422607422
oni_lag9m,0.290736360174095,85905.53893852234
oni_lag18m,0.28171530154159413,259235.65687561035
west_kalim_solar_anom,0.26652623781145285,152067.74239730835
peninsular_my_precip_roll3m,0.2663631949062914,72912.00339889526
riau_sumatra_tmean_roll3m,0.25650650130372443,13304.38671875
riau_sumatra_precip_roll12m,0.2295276369764977,57007.66615921259
area_cv_precip,0.21744826735067704,48590.131172180176
west_kalim_spei_3m,0.20567033046137898,50037.50563812256
sabah_solar_anom,0.1901422752298788,80645.92594528198
peninsular_my_solar_anom,0.1685979794456849,23460.749404907227
sabah_spei_3m,0.10378245171328893,39591.342670440674
peninsular_my_spei_3m,0.06513237698297548,16523.81932067871
oni_x_dsi,0.06426411783350502,14153.376266479492
sabah_heat_days_roll3m,0.051656648307803,15252.874536514282
crude_wti_lag1m,0.04112092822154414,22439.916660308838
eps_neutral,0.01639873048242429,3557.409912109375
supply_disruption_score,0.014983908110714388,22388.9697265625
eps_liberalisation,0.0,0.0
supply_disruption_score_lag1m,0.0,0.0
sentiment_score,0.0,0.0
confidence,0.0,0.0
eps_ban,0.0,0.0
ds_weak,0.0,0.0
indonesia_export_ban,0.0,0.0
eps_restriction,0.0,0.0
confidence_lag1m,0.0,0.0
po_flat,0.0,0.0
po_moderate_decline,0.0,0.0
po_moderate_growth,0.0,0.0
ds_moderate,0.0,0.0
ds_strong,0.0,0.0
sentiment_score_lag1m,0.0,0.0
